"S.NO","Name","Nationality","Current Rank","Previous Year Rank","Sport","Year","earnings ($ million)","new_Sport"
1,"Mike Tyson","USA",1,NA,"boxing",1990,28.6,"Boxing"
2,"Buster Douglas","USA",2,NA,"boxing",1990,26,"Boxing"
3,"Sugar Ray Leonard","USA",3,NA,"boxing",1990,13,"Boxing"
4,"Ayrton Senna","Brazil",4,NA,"auto racing",1990,10,"Auto Racing"
5,"Alain Prost","France",5,NA,"auto racing",1990,9,"Auto Racing"
6,"Jack Nicklaus","USA",6,NA,"golf",1990,8.6,"Golf"
7,"Greg Norman","Australia",7,NA,"golf",1990,8.5,"Golf"
8,"Michael Jordan","USA",8,NA,"basketball",1990,8.1,"Basketball"
9,"Arnold Palmer","USA",8,NA,"golf",1990,8.1,"Golf"
10,"Evander Holyfield","USA",8,NA,"boxing",1990,8.1,"Boxing"
11,"Evander Holyfield","USA",1,"8","boxing",1991,60.5,"Boxing"
12,"Mike Tyson","USA",2,"1","boxing",1991,31.5,"Boxing"
13,"Michael Jordan","USA",3,"8","basketball",1991,16,"Basketball"
14,"George Foreman","USA",4,">30","boxing",1991,14.5,"Boxing"
15,"Ayrton Senna","Brazil",5,"4","auto racing",1991,13,"Auto Racing"
16,"Alain Prost","France",6,"5","auto racing",1991,11,"Auto Racing"
17,"Donovan ""Razor"" Ruddock","Canada",7,">30","boxing",1991,10.2,"Boxing"
18,"Arnold Palmer","USA",8,"8","golf",1991,9.3,"Golf"
19,"Nigel Mansell","UK",9,"12","auto racing",1991,9,"Auto Racing"
20,"Sugar Ray Leonard","USA",10,"6","golf",1991,8.5,"Golf"
21,"Michael Jordan","USA",1,"3","Basketball",1992,35.9,"Basketball"
22,"Evander Holyfield","USA",2,"1","Boxing",1992,28,"Boxing"
23,"Ayrton Senna","Brazil",3,"5","Auto Racing",1992,22,"Auto Racing"
24,"Nigel Mansell","UK",4,"9","Auto Racing",1992,14.5,"Auto Racing"
25,"Arnold Palmer","USA",5,"8","Golf",1992,11.1,"Golf"
26,"Andre Agassi","USA",6,"17","Tennis",1992,11,"Tennis"
27,"Joe Montana","USA",7,"13","NFL",1992,9.5,"American Football"
28,"Sugar Ray Leonard","USA",8,"10","Golf",1992,9.2,"Golf"
29,"Jim Courier","USA",9,">40","Tennis",1992,9,"Tennis"
30,"Monica Seles","USA",10,"12","Tennis",1992,8.5,"Tennis"
31,"Michael Jordan","USA",1,"1","Basketball",1993,36,"Basketball"
32,"Riddick Bowe","USA",2,">40","Boxing",1993,25,"Boxing"
33,"Ayrton Senna","Brazil",3,"3","Auto racing",1993,18.5,"Auto Racing"
34,"Alain Prost","France",4,">40","Auto Racing",1993,16,"Auto Racing"
35,"George Foreman","USA",5,"19","Boxing",1993,15.8,"Boxing"
36,"Shaquille O'Neal","USA",6,">40","NBA",1993,15.2,"Basketball"
37,"Lennox Lewis","USA",7,">40","Boxing",1993,15,"Boxing"
38,"Cecil Fielder","USA",8,"40","Baseball",1993,12.7,"Baseball"
39,"Jim Courier","USA",9,"9","Tennis",1993,12.6,"Tennis"
40,"Joe Montana","USA",10,"7","NFL",1993,11.5,"American Football"
41,"Michael Jordan","USA",1,"1","Basketball",1994,30,"Basketball"
42,"Shaquille O'Neal","USA",2,"6","Basketball",1994,16.7,"Basketball"
43,"Jack Nicklaus","USA",3,"13","Golf",1994,14.8,"Golf"
44,"Arnold Palmer","USA",4,"11","Golf",1994,13.6,"Golf"
45,"Gerhard Berger","Austria",5,"30","Auto Racing",1994,13.5,"Auto Racing"
46,"Wayne Gretzky","Canada",5,"22","Ice Hockey",1994,13.5,"Hockey"
47,"Michael Moorer","USA",7,">40","Boxing",1994,12.1,"Boxing"
48,"Evander Holyfield","USA",8,"12","Boxing",1994,12,"Boxing"
49,"Andre Agassi","USA",9,"20","Tennis",1994,11.4,"Tennis"
50,"Nigel Mansell","UK",10,"19","Auto Racing",1994,11.3,"Auto Racing"
51,"Michael Jordan","USA",1,"1","basketball",1995,43.9,"Basketball"
52,"Mike Tyson","USA",2,"not ranked","boxing",1995,40,"Boxing"
53,"Deion Sanders","USA",3,"38","American Football / Baseball",1995,22.5,"American Football"
54,"Riddick Bowe","USA",4,"not ranked","boxing",1995,22.2,"Boxing"
55,"Shaquille O'Neal","USA",5,"2","basketball",1995,21.9,"Basketball"
56,"George Foreman","USA",6,"15","boxing",1995,18,"Boxing"
57,"Andre Agassi","USA",7,"9","tennis",1995,16,"Tennis"
58,"Sugar Ray Leonard","USA",8,"3","golf",1995,15.1,"Golf"
59,"Michael Schumacher","Germany",9,"30","auto racing",1995,15,"Auto Racing"
60,"Wayne Gretzky","Canada",10,"5","ice hockey",1995,14.5,"Hockey"
61,"Mike Tyson","USA",1,"2","Boxing",1996,75,"Boxing"
62,"Michael Jordan","USA",2,"1","Basketball",1996,52.6,"Basketball"
63,"Michael Schumacher","Germany",3,"9","F1 Motorsports",1996,33,"Auto Racing"
64,"Shaquille O'Neal","USA",4,"5","Basketball",1996,24.4,"Basketball"
65,"Emmit Smith","USA",5,"not ranked","NFL",1996,16.5,"American Football"
66,"Evander Holyfield","USA",6,"14","Boxing",1996,15.5,"Boxing"
67,"Andre Agassi","USA",7,"7","Tennis",1996,15.2,"Tennis"
68,"Arnold Palmer","USA",8,"11","Golf",1996,15.1,"Golf"
69,"Dennis Rodman","USA",9,"not ranked","Basketball",1996,12.9,"Basketball"
70,"Patrick Ewing","USA",9,"19","Basketball",1996,12.9,"Basketball"
71,"Michael Jordan","USA",1,"2","Basketball",1997,78.3,"Basketball"
72,"Evander Holyfield","USA",2,"6","Boxing",1997,54.3,"Boxing"
73,"Oscar De La Hoya","USA",3,"17","Boxing",1997,38,"Boxing"
74,"Michael Schumacher","Germany",4,"3","F1 Motorsports",1997,35,"Auto Racing"
75,"Mike Tyson","USA",5,"1","Boxing",1997,27,"Boxing"
76,"Tiger Woods","USA",6,"26","Golf",1997,26.1,"Golf"
77,"Shaquille O'Neal","USA",7,"4","Basketball",1997,25.4,"Basketball"
78,"Dale Earnhardt","USA",8,"20","NASCAR",1997,19.1,"Auto Racing"
79,"Joe Sakic","Canada",9,"none","Hockey",1997,17.9,"Hockey"
80,"Grant Hill","USA",10,"18","Basketball",1997,17,"Basketball"
81,"Michael Jordan","USA",1,NA,"Basketball",1998,69,"Basketball"
82,"Michael Schumacher","Germany",2,NA,"F1 Motorsports",1998,38,"Auto Racing"
83,"Sergei Federov","Russia",3,NA,"Ice Hockey",1998,29.8,"Hockey"
84,"Tiger Woods","USA",4,NA,"Golf",1998,26.8,"Golf"
85,"Dale Earnhardt","USA",5,NA,"NASCAR",1998,24.1,"Auto Racing"
86,"Grant Hill","USA",6,NA,"Basketball",1998,21.6,"Basketball"
87,"Oscar De La Hoya","USA",7,NA,"Boxing",1998,18.5,"Boxing"
88,"Patrick Ewing","USA",8,NA,"Basketball",1998,18.3,"Basketball"
89,"Arnold Palmer","USA",9,NA,"Golf",1998,18.1,"Golf"
90,"Gary Sheffield","USA",10,NA,"Baseball",1998,17.2,"Baseball"
91,"Michael Schumacher","Germany",1,"2","Auto Racing",1999,49,"Auto Racing"
92,"Tiger Woods","USA",2,"4","Golf",1999,47,"Golf"
93,"Oscar De La Hoya","USA",3,"7","Boxing",1999,43.5,"Boxing"
94,"Michael Jordan","USA",4,"1","Basketball",1999,40,"Basketball"
95,"Evander Holyfield","USA",5,">10","Boxing",1999,35.5,"Boxing"
96,"Mike Tyson","USA",6,">10","Boxing",1999,33,"Boxing"
97,"Shaquille O'Neal","USA",7,">10","Basketball",1999,31,"Basketball"
98,"Lennox Lewis","USA",8,">10","Boxing",1999,29,"Boxing"
99,"Dale Earnhardt","USA",9,"5","Auto Racing",1999,26.5,"Auto Racing"
100,"Grant Hill","USA",10,"6","Basketball",1999,23,"Basketball"
101,"Michael Schumacher","Germany",1,"1","Auto Racing",2000,59,"Auto Racing"
102,"Tiger Woods","USA",2,"2","Golf",2000,53,"Golf"
103,"Mike Tyson","USA",3,"6","Boxing",2000,48,"Boxing"
104,"Michael Jordan","USA",4,"4","Basketball",2000,37,"Basketball"
105,"Grant Hill","USA",5,"10","Basketball",2000,26,"Basketball"
106,"Dale Earnhardt","USA",6,"9","Auto Racing (Nascar)",2000,24.5,"Auto Racing"
107,"Shaquille O'Neal","USA",7,"7","Basketball",2000,24,"Basketball"
108,"Lennox Lewis","USA",8,"8","Boxing",2000,23,"Boxing"
109,"Oscar De La Hoya","USA",9,"3","Boxing",2000,23,"Boxing"
110,"Kevin Garnett","USA",10,">10","Basketball",2000,21,"Basketball"
111,"Tiger Woods","USA",1,"2","Golf",2002,69,"Golf"
112,"Michael Schumacher","Germany",2,"1","F1 Motorsports",2002,67,"Auto Racing"
113,"Michael Jordan","USA",3,"4","Basketball",2002,36,"Basketball"
114,"Lennox Lewis","USA",4,"8","Boxing",2002,28,"Boxing"
115,"Grant Hill","USA",5,"5","Basketball",2002,24,"Basketball"
116,"Shaquille O'Neal","USA",5,"7","Basketball",2002,24,"Basketball"
117,"Mike Tyson","USA",7,"3","Boxing",2002,23,"Boxing"
118,"Kevin Garnett","USA",7,"10","Basketball",2002,23,"Basketball"
119,"Kobe Bryant","USA",9,">10","Basketball",2002,22,"Basketball"
120,"Jacques Villeneuve","Canada",10,">10","Auto Racing",2002,20,"Auto Racing"
121,"Jeff Gordon","USA",10,">10","Auto Racing (Nascar)",2002,20,"Auto Racing"
122,"Tiger Woods","USA",1,"1","Golf",2003,78,"Golf"
123,"Michael Schumacher","Germany",2,"2","F1 Motorsports",2003,75,"Auto Racing"
124,"Michael Jordan","USA",3,"3","Basketball",2003,35,"Basketball"
125,"Shaquille O'Neal","USA",4,"5","Basketball",2003,30.5,"Basketball"
126,"Oscar De La Hoya","USA",5,">10","Boxing",2003,30,"Boxing"
127,"Kevin Garnett","USA",6,"7","Basketball",2003,28,"Basketball"
128,"Alex Rodriguez","USA",7,">10","Baseball",2003,26,"Baseball"
129,"Grant Hill","USA",8,"5","Basketball",2003,25.5,"Basketball"
130,"Andre Agassi","USA",9,">10","Tennis",2003,24,"Tennis"
131,"Jacques Villeneuve","Canada",10,"10","Auto Racing",2003,23,"Auto Racing"
132,"Tiger Woods","USA",1,"1","golf",2004,80.3,"Golf"
133,"Michael Schumacher","Germany",2,"2","F1 racing",2004,80,"Auto Racing"
134,"Peyton Manning","USA",3,">10","American Football",2004,42,"American Football"
135,"Michael Jordan","USA",4,"3","basketball",2004,35,"Basketball"
136,"Shaquille O'Neal","USA",5,"4","basketball",2004,31.9,"Basketball"
137,"Kevin Garnett","USA",6,"6","basketball",2004,29.7,"Basketball"
138,"Andre Agassi","USA",7,"9","tennis",2004,28.2,"Tennis"
139,"David Beckham","UK",8,">10","soccer",2004,28,"Soccer"
140,"Alex Rodriguez","USA",9,"7","baseball",2004,26.2,"Baseball"
141,"Kobe Bryant","USA",10,">10","basketball",2004,26.1,"Basketball"
142,"Tiger Woods","USA",1,"1","golf",2005,87,"Golf"
143,"Michael Schumacher","Germany",2,"2","F1 racing",2005,60,"Auto Racing"
144,"Oscar De La Hoya","USA",3,">10","boxing",2005,38,"Boxing"
145,"Michael Vick","USA",4,">10","American Football",2005,37.5,"American Football"
146,"Shaquille O'Neal","USA",5,"5","basketball",2005,33.4,"Basketball"
147,"Michael Jordan","USA",6,"4","basketball",2005,33,"Basketball"
148,"David Beckham","UK",7,"8","soccer",2005,32.5,"Soccer"
149,"Kobe Bryant","USA",8,"10","basketball",2005,28.8,"Basketball"
150,"Lance Armstrong","USA",9,">10","cycling",2005,28,"Cycling"
151,"Valentino Rossi","Italy",9,">10","motorcycle gp",2005,28,"Motorcycling"
152,"Tiger Woods","USA",1,"1","golf",2006,90,"Golf"
153,"Michael Schumacher","Germany",2,"2","F1 racing",2006,58,"Auto Racing"
154,"Muhammad Ali","USA",3,">10","boxing",2006,55,"Boxing"
155,"Phil Mickelson","USA",4,">10","golf",2006,47,"Golf"
156,"Michael Jordan","USA",5,"6","basketball",2006,32,"Basketball"
157,"Kobe Bryant","USA",6,"8","basketball",2006,31,"Basketball"
158,"Shaquille O'Neal","USA",7,"5","basketball",2006,30,"Basketball"
159,"Valentino Rossi","Italy",8,"9","motorcycle gp",2006,30,"Motorcycling"
160,"Alex Rodriguez","USA",9,">10","baseball",2006,29,"Baseball"
161,"Tom Brady","USA",9,">10","American Football",2006,29,"American Football"
162,"Tiger Woods","USA",1,"1","golf",2007,100,"Golf"
163,"Oscar De La Hoya","USA",2,">10","boxing",2007,43,"Boxing"
164,"Phil Mickelson","USA",3,"4","golf",2007,42,"Golf"
165,"Kimi Raikkonen","Finland",4,">10","F1 racing",2007,40,"Auto Racing"
166,"Michael Schumacher","Germany",5,"2","F1 racing",2007,36,"Auto Racing"
167,"David Beckham","UK",6,">10","soccer",2007,33,"Soccer"
168,"Kobe Bryant","USA",6,">10","basketball",2007,33,"Basketball"
169,"Shaquille O'Neal","USA",8,"7","basketball",2007,32,"Basketball"
170,"Ronaldinho","Brazil",9,">10","soccer",2007,31,"Soccer"
171,"Michael Jordan","USA",9,"5","basketball",2007,31,"Basketball"
172,"Tiger Woods","USA",1,"1","golf",2008,115,"Golf"
173,"David Beckham","UK",2,"6","soccer",2008,50,"Soccer"
174,"Michael Jordan","USA",3,"9","basketball",2008,45,"Basketball"
175,"Phil Mickelson","USA",3,"3","golf",2008,45,"Golf"
176,"Kimi Raikkonen","Finland",5,"4","F1 racing",2008,44,"Auto Racing"
177,"Kobe Bryant","USA",6,"7","basketball",2008,39,"Basketball"
178,"LeBron James","USA",7,">10","basketball",2008,38,"Basketball"
179,"Ronaldinho","Brazil",8,"9","soccer",2008,37,"Soccer"
180,"Valentino Rossi","Italy",9,">10","motorcycle gp",2008,35,"Motorcycling"
181,"Roger Federer","Switzerland",9,">10","tennis",2008,35,"Tennis"
182,"Tiger Woods","USA",1,"1","golf",2009,110,"Golf"
183,"Kobe Bryant","USA",2,"6","basketball",2009,45,"Basketball"
184,"Michael Jordan","USA",2,"3","basketball",2009,45,"Basketball"
185,"Kimi Raikkonen","Finland",2,"5","F1 racing",2009,45,"Auto Racing"
186,"David Beckham","UK",5,"2","soccer",2009,42,"Soccer"
187,"LeBron James","USA",6,"7","basketball",2009,40,"Basketball"
188,"Phil Mickelson","USA",6,"3","golf",2009,40,"Golf"
189,"Manny Pacquiao","Philippines",6,">10","boxing",2009,40,"Boxing"
190,"Valentino Rossi","Italy",9,"9","motorcycle gp",2009,35,"Motorcycling"
191,"Dale Earnhardt Jr.","USA",10,">10","NASCAR",2009,34,"Auto Racing"
192,"Tiger Woods","USA",1,"1","golf",2010,105,"Golf"
193,"Floyd Mayweather","USA",2,">10","boxing",2010,65,"Boxing"
194,"Kobe Bryant","USA",3,"2","basketball",2010,48,"Basketball"
195,"Phil Mickelson","USA",4,"6","golf",2010,46,"Golf"
196,"David Beckham","UK",5,"5","soccer",2010,43.7,"Soccer"
